Time,Voltage,Temp,Current,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,DistanceMeters,HeartRateBpm,Cadence,Speed
03:24:33,36.71,33.03,0.08,1.3425428,103.68042675,43.200000400974496,0.0,0,0,0.0
03:24:34,36.71,33.0,0.08,1.34254421,103.68042631,43.2000003207796,1.1169999999983702,0,0,0.025537128823398
03:24:35,36.71,32.94,0.11,1.34254532,103.6804261,43.20000025662368,1.1169999999983702,0,0,0.025537128823398
03:24:36,36.71,32.93,0.09,1.34254582,103.68042565,43.20000020529895,2.2339999999967404,0,0,0.5315092936802973
03:24:37,36.71,32.89,0.04,1.34254614,103.68042582,43.20000016423917,3.3509999999951106,0,1,1.2040084210526314
03:24:38,36.71,32.86,0.11,1.34254718,103.68042659,43.20000013139133,3.3509999999951106,0,1,1.2040084210526314
03:24:39,36.71,32.84,0.07,1.3425504,103.68042965,43.20000010511307,5.584999999991851,0,1,0.867836115326252
03:24:40,36.71,32.73,0.17,1.34255487,103.6804333,43.200000084090455,7.818999999988591,0,0,2.684995305164319
03:24:41,36.695,32.59,0.23,1.34256088,103.68043585,43.20000006727236,11.169999999990978,0,14,3.015311072056239
03:24:43,36.41,32.4,3.63,1.34257721,103.68043624,43.200000053817895,20.10599999999249,0,14,6.6840496712929145
03:24:44,36.41,32.27,3.71,1.34259862,103.68042086,43.20000004305432,31.275999999990745,0,31,11.019344894026974
03:24:45,36.405,32.19,3.41,1.3426182,103.68040001,43.200000034443455,79.30699999999342,0,31,11.019344894026974
03:24:46,36.405,32.1,3.78,1.34263132,103.68038216,43.200000027554765,79.30699999999342,0,25,11.019344894026974
03:24:47,36.395,31.97,3.64,1.34264458,103.68036475,43.20000002204382,106.11499999999069,0,25,11.019344894026974
03:24:48,36.39,31.83,3.57,1.34265724,103.68034783,43.200000017635055,163.08199999999488,0,25,11.019344894026974
03:24:49,36.39,31.67,3.6,1.34267121,103.68033037,43.20000001410805,163.08199999999488,0,0,28.56773102785783
03:24:50,36.39,31.71,3.66,1.34268656,103.68031335,43.20000001128644,222.2829999999958,0,17,30.45642603550296
03:24:51,36.385,31.8,3.57,1.34270259,103.68029651,43.200000009029154,251.3249999999971,0,17,28.761129593810445
03:24:52,36.385,31.66,3.27,1.34271924,103.6802793,43.20000000722332,282.6009999999951,0,17,31.77244444444444
03:24:53,36.39,31.44,3.22,1.34273657,103.6802613,43.20000000577866,314.9939999999915,0,17,32.079721470019344
